idImage,patchId,clusterId
1,0,80
1,1,80
1,2,80
1,3,80
1,4,80
1,5,80
1,6,80
1,7,80
1,8,80
1,9,80
1,10,80
1,11,80
1,12,80
1,13,80
1,14,80
1,15,80
1,16,80
1,17,80
1,18,80
1,19,80
1,20,80
1,21,80
1,22,80
1,23,80
1,24,80
1,25,80
1,26,80
1,27,80
1,28,80
1,29,80
1,30,80
1,31,80
1,32,80
1,33,80
1,34,80
1,35,80
1,36,80
1,37,80
1,38,80
1,39,80
1,40,80
1,41,80
1,42,80
1,43,80
1,44,80
1,45,80
1,46,80
1,47,80
1,48,80
1,49,80
1,50,80
1,51,80
1,52,80
1,53,80
1,54,31
1,55,80
1,56,80
1,57,80
1,58,80
1,59,31
1,60,31
1,61,80
2,62,1
2,63,22
2,64,22
2,65,22
2,66,22
2,67,22
2,68,22
2,69,102
2,70,22
2,71,22
2,72,22
2,73,86
2,74,86
2,75,22
2,76,102
2,77,22
2,78,22
2,79,22
2,80,40
2,81,86
2,82,22
2,83,22
2,84,22
2,85,22
2,86,22
2,87,22
2,88,22
2,89,79
2,90,86
2,91,22
2,92,22
2,93,22
2,94,22
2,95,79
2,96,86
2,97,86
2,98,22
2,99,22
2,100,86
2,101,22
2,102,22
2,103,22
2,104,22
2,105,22
2,106,22
2,107,86
2,108,86
2,109,22
2,110,22
2,111,22
2,112,22
2,113,22
2,114,86
2,115,18
2,116,86
2,117,22
2,118,22
2,119,22
2,120,22
3,121,12
3,122,12
3,123,109
3,124,109
3,125,108
3,126,12
3,127,12
3,128,108
3,129,109
3,130,109
3,131,108
3,132,12
3,133,109
3,134,109
3,135,109
3,136,108
3,137,12
3,138,12
3,139,109
3,140,109
3,141,109
3,142,108
3,143,108
3,144,12
3,145,12
3,146,109
3,147,109
3,148,109
3,149,109
3,150,108
3,151,12
3,152,12
3,153,109
3,154,109
3,155,79
3,156,108
3,157,21
3,158,109
3,159,109
3,160,109
3,161,108
3,162,108
3,163,12
3,164,12
3,165,109
3,166,109
3,167,79
3,168,79
3,169,108
3,170,12
3,171,12
3,172,109
3,173,108
3,174,108
4,175,3
4,176,3
4,177,3
4,178,3
4,179,3
4,180,3
4,181,3
4,182,3
4,183,3
4,184,3
4,185,3
4,186,3
4,187,3
4,188,3
4,189,3
4,190,3
4,191,3
4,192,3
4,193,3
4,194,3
4,195,3
4,196,3
4,197,3
4,198,3
4,199,3
4,200,3
4,201,3
4,202,3
4,203,3
4,204,3
4,205,3
4,206,3
4,207,3
4,208,3
4,209,3
4,210,3
4,211,3
4,212,3
4,213,3
4,214,3
4,215,3
4,216,3
4,217,3
4,218,3
4,219,3
4,220,3
4,221,3
4,222,3
4,223,3
4,224,3
4,225,3
4,226,3
4,227,3
4,228,3
4,229,3
4,230,3
4,231,3
5,232,87
5,233,71
5,234,71
5,235,71
5,236,48
5,237,87
5,238,71
5,239,71
5,240,71
5,241,71
5,242,87
5,243,87
5,244,56
5,245,71
5,246,87
5,247,71
5,248,87
5,249,71
5,250,71
5,251,71
5,252,71
5,253,71
5,254,71
5,255,71
5,256,48
5,257,52
5,258,71
5,259,107
5,260,71
5,261,71
5,262,71
5,263,71
5,264,52
5,265,71
5,266,71
5,267,71
5,268,71
5,269,84
5,270,71
5,271,71
5,272,71
5,273,71
5,274,87
5,275,39
5,276,52
5,277,71
5,278,71
5,279,87
5,280,71
5,281,71
5,282,87
5,283,71
5,284,71
5,285,71
6,286,76
6,287,76
6,288,76
6,289,76
6,290,76
6,291,76
6,292,50
6,293,76
6,294,76
6,295,76
6,296,76
6,297,76
6,298,76
6,299,50
6,300,76
6,301,76
6,302,76
6,303,76
6,304,76
6,305,76
6,306,50
6,307,76
6,308,76
6,309,76
6,310,76
6,311,76
6,312,76
6,313,76
6,314,76
6,315,76
6,316,76
6,317,76
6,318,76
6,319,76
6,320,76
6,321,76
6,322,76
6,323,76
6,324,76
6,325,76
6,326,76
6,327,76
6,328,76
6,329,76
6,330,76
6,331,76
6,332,76
6,333,50
6,334,76
6,335,76
6,336,76
6,337,76
6,338,76
6,339,76
6,340,76
7,341,39
7,342,34
7,343,34
7,344,34
7,345,34
7,346,56
7,347,1
7,348,42
7,349,40
7,350,102
7,351,39
7,352,40
7,353,28
7,354,28
7,355,28
7,356,28
7,357,102
7,358,42
7,359,71
7,360,19
7,361,19
7,362,51
7,363,39
7,364,42
7,365,71
7,366,107
7,367,34
7,368,34
7,369,34
7,370,34
7,371,95
7,372,42
7,373,42
7,374,34
7,375,56
7,376,34
7,377,42
7,378,55
7,379,34
7,380,34
7,381,71
7,382,42
7,383,34
7,384,34
7,385,34
7,386,56
7,387,28
7,388,34
7,389,34
7,390,34
7,391,11
8,392,39
8,393,39
8,394,40
8,395,84
8,396,39
8,397,28
8,398,28
8,399,55
8,400,107
8,401,107
8,402,40
8,403,87
8,404,39
8,405,40
8,406,55
8,407,87
8,408,84
8,409,42
8,410,42
8,411,44
8,412,42
8,413,107
8,414,40
8,415,39
8,416,39
8,417,39
8,418,40
8,419,11
8,420,107
8,421,42
8,422,28
8,423,40
8,424,55
8,425,84
8,426,40
8,427,87
8,428,87
8,429,71
8,430,73
8,431,40
8,432,87
8,433,11
8,434,40
8,435,55
8,436,40
8,437,55
8,438,44
8,439,40
8,440,40
8,441,39
8,442,40
8,443,39
8,444,40
8,445,71
8,446,39
8,447,55
8,448,42
8,449,39
8,450,42
8,451,42
8,452,40
9,453,99
9,454,18
9,455,99
9,456,99
9,457,99
9,458,18
9,459,22
9,460,18
9,461,11
9,462,99
9,463,107
9,464,99
9,465,99
9,466,107
9,467,18
9,468,99
9,469,99
9,470,99
9,471,99
9,472,99
9,473,99
9,474,107
9,475,22
9,476,99
9,477,99
9,478,99
9,479,85
9,480,99
9,481,99
9,482,9
9,483,99
9,484,99
9,485,99
9,486,99
9,487,99
9,488,99
9,489,99
9,490,107
9,491,99
9,492,107
9,493,18
9,494,99
9,495,107
9,496,107
9,497,22
9,498,99
9,499,99
9,500,99
10,501,1
10,502,109
10,503,109
10,504,109
10,505,6
10,506,6
10,507,1
10,508,6
10,509,6
10,510,8
10,511,9
10,512,109
10,513,6
10,514,1
10,515,6
10,516,6
10,517,9
10,518,109
10,519,9
10,520,6
10,521,6
10,522,1
10,523,109
10,524,6
10,525,89
10,526,109
10,527,81
10,528,6
10,529,6
10,530,6
10,531,109
10,532,109
10,533,92
10,534,109
10,535,79
10,536,109
10,537,44
10,538,109
10,539,8
10,540,79
10,541,109
10,542,9
10,543,9
10,544,109
10,545,89
10,546,109
10,547,9
10,548,57
10,549,57
10,550,9
10,551,6
10,552,109
10,553,109
10,554,109
10,555,9
10,556,89
10,557,109
11,558,18
11,559,18
11,560,18
11,561,86
11,562,18
11,563,18
11,564,22
11,565,18
11,566,86
11,567,22
11,568,18
11,569,18
11,570,86
11,571,22
11,572,18
11,573,18
11,574,18
11,575,86
11,576,18
11,577,18
11,578,18
11,579,22
11,580,18
11,581,18
11,582,18
11,583,22
11,584,86
11,585,86
11,586,18
11,587,18
11,588,18
11,589,18
11,590,18
11,591,86
11,592,18
11,593,18
11,594,22
11,595,22
11,596,18
11,597,18
11,598,18
11,599,18
11,600,22
11,601,22
11,602,22
11,603,18
11,604,18
11,605,18
11,606,22
11,607,18
12,608,33
12,609,33
12,610,33
12,611,81
12,612,67
12,613,33
12,614,33
12,615,33
12,616,33
12,617,57
12,618,33
12,619,33
12,620,33
12,621,33
12,622,33
12,623,33
12,624,67
12,625,33
12,626,104
12,627,33
12,628,33
12,629,33
12,630,104
12,631,33
12,632,57
12,633,33
12,634,33
12,635,33
12,636,57
12,637,67
12,638,57
12,639,33
12,640,6
12,641,57
12,642,81
12,643,33
12,644,104
12,645,33
12,646,33
12,647,61
12,648,61
12,649,33
12,650,33
12,651,33
12,652,81
12,653,57
12,654,33
12,655,33
12,656,33
12,657,57
12,658,85
12,659,33
12,660,67
12,661,67
12,662,61
12,663,6
12,664,33
12,665,57
12,666,67
12,667,81
12,668,57
12,669,33
13,670,8
13,671,8
13,672,22
13,673,61
13,674,36
13,675,81
13,676,81
13,677,81
13,678,9
13,679,6
13,680,79
13,681,92
13,682,40
13,683,70
13,684,22
13,685,6
13,686,6
13,687,44
13,688,44
13,689,22
13,690,79
13,691,3
13,692,61
13,693,36
13,694,44
13,695,1
13,696,109
13,697,22
13,698,1
13,699,36
13,700,22
13,701,79
13,702,6
13,703,36
13,704,36
13,705,99
13,706,18
13,707,92
13,708,92
13,709,36
13,710,6
13,711,6
13,712,18
13,713,18
13,714,18
13,715,109
13,716,109
13,717,4
13,718,36
13,719,36
13,720,79
13,721,22
13,722,18
13,723,22
13,724,22
13,725,36
14,726,50
14,727,50
14,728,31
14,729,50
14,730,80
14,731,50
14,732,80
14,733,50
14,734,50
14,735,50
14,736,50
14,737,50
14,738,50
14,739,50
14,740,50
14,741,50
14,742,50
14,743,50
14,744,50
14,745,50
14,746,50
14,747,50
14,748,50
14,749,50
14,750,50
14,751,50
14,752,50
14,753,31
14,754,50
14,755,50
14,756,50
14,757,80
14,758,50
14,759,50
14,760,31
14,761,50
14,762,50
14,763,80
14,764,80
14,765,31
14,766,31
14,767,31
14,768,80
14,769,80
14,770,80
14,771,80
14,772,31
14,773,80
14,774,31
14,775,31
14,776,80
14,777,80
14,778,80
14,779,80
14,780,31
14,781,31
14,782,80
14,783,80
14,784,80
14,785,80
14,786,80
15,787,88
15,788,110
15,789,110
15,790,110
15,791,96
15,792,110
15,793,96
15,794,96
15,795,63
15,796,96
15,797,110
15,798,110
15,799,96
15,800,83
15,801,63
15,802,63
15,803,110
15,804,110
15,805,110
15,806,96
15,807,110
15,808,63
15,809,63
15,810,110
15,811,110
15,812,110
15,813,110
15,814,110
15,815,83
15,816,63
15,817,110
15,818,110
15,819,110
